SettlementPoint,year,month,Mean,Min,Max,SD,Volatility
HB_BUSAVG,2016,1,19.209301075268822,5.12,54.69,5.48521039009743,-0.0003635304770452767
HB_BUSAVG,2016,2,15.288247126436788,1.79,50.98,5.77717217692724,-0.00078173809972199
HB_BUSAVG,2016,3,16.755625841184376,1.22,64.31,7.368496875539129,0.0007737610773223628
HB_BUSAVG,2016,4,18.289347222222197,1.18,93.09,9.506142732088001,-4.8737944182320223e-05
HB_BUSAVG,2016,5,18.15958333333335,3.03,73.61,8.017220813376365,0.0001497494453909979
HB_BUSAVG,2016,6,23.90981944444443,4.02,110.72,11.305436288586218,0.0004830804790179429
HB_BUSAVG,2016,7,27.187473118279588,7.61,99.29,12.406065835499756,-0.00015203239551694837
HB_BUSAVG,2016,8,30.567137096774225,13.39,230.02,27.15155808784458,9.313979699209183e-05
HB_BUSAVG,2016,9,26.861750000000033,10.89,202.4,14.904298172890444,-8.36689182623159e-05
HB_BUSAVG,2016,10,25.2048387096774,2.92,274.77,16.32711959988236,-0.00023553232845938715
HB_BUSAVG,2016,11,19.244902777777792,2.3,48.65,6.3781515532879896,0.00022518198070929285
HB_BUSAVG,2016,12,25.31830645161287,2.72,139.42,11.105303297399237,0.0003179421816223813
HB_BUSAVG,2017,1,23.25278225806453,1.94,96.28,7.471612705493784,-0.0004640336654330426
HB_BUSAVG,2017,2,20.1178273809524,3.56,52.7,6.538278533511916,-0.0004887985783336017
HB_BUSAVG,2017,3,22.569892328398367,4.92,78.44,7.988595981559292,0.00033847776421767005
HB_BUSAVG,2017,4,23.70508333333335,8.37,81.08,7.768482147422761,0.0005062837855069366
HB_BUSAVG,2017,5,25.087352150537626,4.66,65.3,7.952691485425806,-5.7674943852854046e-05
HB_BUSAVG,2017,6,27.669152777777793,15.22,82.18,11.114801167073598,5.428393921997258e-05
HB_BUSAVG,2017,7,31.45427419354836,16.64,257.04,17.838848649545913,-3.244503106634231e-05
HB_BUSAVG,2017,8,27.50701612903228,16.62,88.75,10.898581913248776,-9.852529453113186e-05
HB_BUSAVG,2017,9,24.18416666666669,8.38,59.02,7.9236597783932705,-8.815961694871002e-05
HB_BUSAVG,2017,10,23.563279569892487,3.07,97.54,10.300630159991833,-1.3515307658382618e-05
HB_BUSAVG,2017,11,22.677458333333327,4.28,83.65,8.31051267552799,-7.497639888618719e-05
HB_BUSAVG,2017,12,21.187956989247333,5.82,55.67,5.193307565046879,0.00019205307466202594
HB_BUSAVG,2018,1,37.86967741935482,5.83,1660.04,87.56361308118339,-0.0004018758568905915
HB_BUSAVG,2018,2,21.854315476190465,5.09,73.49,7.541317693617223,-0.00013387337199384313
HB_BUSAVG,2018,3,22.561978465679648,7.34,69.97,8.35799112360004,8.709157289186831e-05
HB_BUSAVG,2018,4,23.142958333333308,6.22,53.44,7.3667687663368335,3.334195350423368e-05
HB_BUSAVG,2018,5,34.00524193548385,8.49,541.31,38.314470370603864,0.0002888033830333509
HB_BUSAVG,2018,6,29.96612499999997,15.16,114.07,14.658058238847639,0.000244337710276084
HB_BUSAVG,2018,7,78.85944892473117,9.9,2061.99,233.36169591636278,-8.674532410964198e-05
HB_BUSAVG,2018,8,31.661559139784913,12.71,149.91,18.572329132601762,-0.000114311430499826
HB_BUSAVG,2018,9,27.17544444444446,14.59,88.96,10.5109675059282,1.7598242806494254e-05
HB_BUSAVG,2018,10,29.95782258064515,10.32,95.21,10.16982978140472,0.000189690284752143
HB_BUSAVG,2018,11,30.644499999999972,9.3,108.07,11.598420053307358,-0.0002027554865560981
HB_BUSAVG,2018,12,30.268185483870955,6.64,117.74,10.12306655686283,-2.618775346711067e-06
HB_BUSAVG,2019,1,24.59256720430107,5.72,75.28,8.130355147669786,-7.20158239946194e-05
HB_BUSAVG,2019,2,21.186369047619046,5.06,56.68,7.013010151618259,1.2956608892799297e-05
HB_BUSAVG,2019,3,27.565720053835797,7.31,675.6,34.263891687476494,0.0003460746828543342
HB_BUSAVG,2019,4,22.613180555555562,5.34,102.53,11.853101342168479,-0.0004916314892652544
HB_BUSAVG,2019,5,23.959932795698922,9.46,67.19,8.560298614984854,0.000236850562388612
HB_BUSAVG,2019,6,25.08554166666668,8.72,102.2,13.651568525669756,-0.0002827130174734389
HB_BUSAVG,2019,7,29.72962365591398,11.28,274.56,26.86115729182233,-2.981749181502845e-05
HB_BUSAVG,2019,8,126.38408602150527,10.04,3499.84,401.206306600097,6.806953335854119e-05
HB_BUSAVG,2019,9,79.61562499999994,7.88,5008.32,380.21393107679,-0.0002682700442456638
HB_BUSAVG,2019,10,28.247056451612934,6.39,851.45,53.26734427541531,0.0004719700684184442
HB_BUSAVG,2019,11,23.46837500000001,3.26,203.7,14.638393552028687,-0.00041944313154727885
HB_BUSAVG,2019,12,18.715080645161272,3.74,59.84,6.744975917531296,-8.726807747909759e-05
HB_HOUSTON,2016,1,19.565725806451617,5.19,54.55,5.6487473817289935,-0.00036353047704527637
HB_HOUSTON,2016,2,15.464540229885062,2.1,50.75,5.811656068895286,-0.0007590286167174108
HB_HOUSTON,2016,3,17.12495289367428,1.36,72.32,7.70473596551608,0.0007534160131209883
HB_HOUSTON,2016,4,18.940958333333334,1.26,99.0,10.265435546159962,-4.771275734673751e-05
HB_HOUSTON,2016,5,19.17408602150539,3.04,73.62,9.38017837807119,0.00016065196025063884
HB_HOUSTON,2016,6,26.255736111111084,4.31,141.0,15.3243472685475,0.0004742122054766483
HB_HOUSTON,2016,7,29.53892473118277,10.08,101.38,14.978876680896809,-0.00015559246004786845
